,source,target,weight
76,Ukraine,Mexico,0.011904761904761904
77,Antigua and Barbuda,Haiti,0.07339449541284404
78,Slovenia,Germany,0.00909090909090909
79,Ghana,Montenegro,0.005681818181818182
80,Northern Mariana Islands,Fiji,0.043478260869565216
81,German DR,Yugoslavia,0.03260869565217391
82,Mozambique,Rwanda,0.013157894736842105
83,Montenegro,Finland,0.03333333333333333
84,South Korea,Morocco,0.004651162790697674
85,Malaysia,Tajikistan,0.0032258064516129032
86,San Marino,Malta,0.015384615384615385
87,Azerbaijan,Iraq,0.00641025641025641
88,Fiji,Malaysia,0.02040816326530612
89,Botswana,Equatorial Guinea,0.014285714285714285
90,Jordan,Iran,0.03773584905660377
91,Madagascar,Iran,0.008264462809917356
92,North Korea,Singapore,0.008771929824561403
93,Venezuela,Argentina,0.09956709956709957
94,France,Russia,0.0234375
95,Guinea,Eswatini,0.011111111111111112
96,Turkey,Japan,0.008771929824561403
97,Gabon,Madagascar,0.006993006993006993
98,Congo,Central African Republic,0.005952380952380952
99,South Africa,Egypt,0.034482758620689655
100,Bolivia,Portugal,0.0035211267605633804
101,Moldova,Czech Republic,0.018867924528301886
102,Cambodia,Lebanon,0.00546448087431694
103,Liechtenstein,Cape Verde,0.005208333333333333
104,Luxembourg,Azerbaijan,0.002932551319648094
105,Czech Republic,Germany,0.07368421052631578
106,Switzerland,Morocco,0.005571030640668524
107,Central African Republic,Cameroon,0.08450704225352113
108,Wales,Portugal,0.009316770186335404
109,China PR,Pakistan,0.004975124378109453
110,Mongolia,Kyrgyzstan,0.03125
111,Andorra,Turkey,0.023668639053254437
112,Chad,Gabon,0.058823529411764705
113,Gabon,Zambia,0.03496503496503497
114,Latvia,Croatia,0.02843601895734597
115,Finland,Bulgaria,0.016587677725118485
116,Congo,Ivory Coast,0.07738095238095238
117,Latvia,Switzerland,0.018957345971563982
118,Saint Lucia,Guadeloupe,0.02727272727272727
119,Laos,Nepal,0.02142857142857143
120,Croatia,Brazil,0.038461538461538464
121,Estonia,Romania,0.010676156583629894
122,Mauritania,Morocco,0.03597122302158273
123,Nicaragua,Argentina,0.007462686567164179
124,United States,German DR,0.003787878787878788
125,Qatar,Ghana,0.004784688995215311
126,Basque Country,Wales,0.1111111111111111
127,Faroe Islands,Scotland,0.04838709677419355
128,Iceland,Wales,0.020080321285140562
129,San Marino,Azerbaijan,0.010256410256410256
130,Bermuda,Guatemala,0.011494252873563218
131,Menorca,Jersey,0.375
132,Yemen,Sudan,0.01282051282051282
133,Morocco,Netherlands,0.014388489208633094
134,Japan,Spain,0.004149377593360996
135,Basque Country,Tunisia,0.1111111111111111
136,Egypt,France,0.0053475935828877
137,Greece,Saudi Arabia,0.0043859649122807015
138,Honduras,Guatemala,0.04390243902439024
139,Latvia,Austria,0.02843601895734597
140,Italy,Scotland,0.006060606060606061
141,Bolivia,Paraguay,0.1267605633802817
142,Malaysia,Iran,0.012903225806451613
143,Honduras,Panama,0.05853658536585366
144,Poland,Greece,0.010869565217391304
145,Ghana,Brazil,0.028409090909090908
146,Scotland,Wales,0.0888030888030888
147,Qatar,Azerbaijan,0.004784688995215311
148,Myanmar,Iraq,0.024752475247524754
149,Japan,Mexico,0.024896265560165973
150,Armenia,Lithuania,0.014492753623188406
151,Kosovo,Senegal,0.02857142857142857
152,Guam,Maldives,0.024390243902439025
153,Iceland,Russia,0.028112449799196786
154,Belarus,England,0.014814814814814815
155,Qatar,China PR,0.03827751196172249
156,Malaysia,Lebanon,0.0064516129032258064
157,Turks and Caicos Islands,Bahamas,0.1935483870967742
158,Catalonia,Argentina,0.11764705882352941
159,Albania,Sweden,0.020512820512820513
160,Singapore,Syria,0.012195121951219513
161,Papua New Guinea,Vanuatu,0.125
162,Iceland,Peru,0.004016064257028112
163,Mauritius,Hong Kong,0.00641025641025641
164,Gozo,Sápmi,0.14285714285714285
165,Dominican Republic,Chile,0.015384615384615385
166,Pakistan,Kenya,0.006756756756756757
167,Saint Kitts and Nevis,Northern Ireland,0.011494252873563218
168,Algeria,German DR,0.018292682926829267
169,Chile,Egypt,0.0030303030303030303
170,Azerbaijan,Luxembourg,0.019230769230769232
171,Antigua and Barbuda,Hungary,0.009174311926605505
172,Bangladesh,Maldives,0.03896103896103896
173,Isle of Man,Isle of Wight,0.05555555555555555
174,Panama,Colombia,0.02304147465437788
175,Yugoslavia,Netherlands,0.018518518518518517
176,Netherlands,Czech Republic,0.026905829596412557
177,Cyprus,Lithuania,0.003816793893129771
178,Northern Ireland,Austria,0.01694915254237288
179,Suriname,Canada,0.016
180,Bermuda,Canada,0.06896551724137931
181,Zanzibar,Ethiopia,0.056910569105691054
182,Bolivia,Republic of Ireland,0.007042253521126761
183,Egypt,Croatia,0.0053475935828877
184,Iran,Serbia,0.008620689655172414
185,Colombia,Russia,0.005050505050505051
186,Luxembourg,Yugoslavia,0.020527859237536656
187,South Korea,Belarus,0.004651162790697674
188,Togo,Zimbabwe,0.016129032258064516
189,Oman,Ecuador,0.005263157894736842
190,Algeria,Mauritania,0.006097560975609756
191,Lithuania,Chile,0.004464285714285714
192,Hungary,Portugal,0.03278688524590164
193,Bangladesh,Bosnia and Herzegovina,0.006493506493506494
194,Senegal,Burkina Faso,0.011904761904761904
195,Brazil,Norway,0.012048192771084338
196,Latvia,Malta,0.014218009478672985
197,Greece,Romania,0.07456140350877193
198,Scotland,Georgia,0.007722007722007722
199,North Macedonia,Bosnia and Herzegovina,0.007874015748031496
200,Guadeloupe,Canada,0.009615384615384616
201,Andorra,Israel,0.03550295857988166
202,Denmark,Germany,0.05673758865248227
203,India,Morocco,0.004629629629629629
204,Kenya,Cameroon,0.015625
205,Tunisia,Gambia,0.010752688172043012
206,Chile,Guatemala,0.0030303030303030303
207,Austria,Ivory Coast,0.0032679738562091504
208,Belgium,Bulgaria,0.02112676056338028
209,United Arab Emirates,Qatar,0.06796116504854369
210,Morocco,Mali,0.04316546762589928
211,Kuwait,Cameroon,0.004739336492890996
212,Liberia,Mali,0.041379310344827586
213,Switzerland,Israel,0.002785515320334262
214,Madagascar,Egypt,0.01652892561983471
215,Kazakhstan,United Arab Emirates,0.015873015873015872
216,Saudi Arabia,Trinidad and Tobago,0.004830917874396135
217,East Timor,Philippines,0.25
218,Ukraine,Brazil,0.011904761904761904
219,Slovakia,Costa Rica,0.008
220,Bulgaria,Serbia,0.007246376811594203
221,Bonaire,Dominican Republic,0.06666666666666667
222,Hungary,Malta,0.003278688524590164
223,Malta,Japan,0.003257328990228013
224,Myanmar,Hong Kong,0.009900990099009901
225,Lesotho,Togo,0.007142857142857143
226,Georgia,Jordan,0.007462686567164179
227,United Arab Emirates,Germany,0.014563106796116505
228,Zimbabwe,Réunion,0.006329113924050633
229,United Arab Emirates,China PR,0.019417475728155338
230,Bolivia,Honduras,0.0035211267605633804
231,Sápmi,Artsakh,0.13333333333333333
232,Bhutan,Pakistan,0.03529411764705882
233,Cameroon,Germany,0.020134228187919462
234,Gambia,Luxembourg,0.008928571428571428
235,Hungary,United States,0.003278688524590164
236,Mongolia,Cambodia,0.015625
237,Nepal,India,0.10526315789473684
238,Canary Islands,Venezuela,1.0
239,Austria,Finland,0.0032679738562091504
240,Wales,Poland,0.021739130434782608
241,Mauritius,Fiji,0.00641025641025641
242,Sint Maarten,British Virgin Islands,0.037037037037037035
243,Paraguay,Netherlands,0.0033783783783783786
244,Austria,Sweden,0.0392156862745098
245,Barawa,Tamil Eelam,0.1111111111111111
246,Sápmi,Abkhazia,0.2
247,Ethiopia,Madagascar,0.006097560975609756
248,Singapore,Oman,0.024390243902439025
249,Andorra,Wales,0.011834319526627219
250,Jordan,Libya,0.018867924528301886
251,Finland,Slovakia,0.0071090047393364926
252,Faroe Islands,Poland,0.026881720430107527
253,Montenegro,Armenia,0.03333333333333333
254,Israel,Denmark,0.046632124352331605
255,Myanmar,Kyrgyzstan,0.024752475247524754
256,Shetland,Gotland,0.037037037037037035
257,Slovenia,Iceland,0.00909090909090909
258,Japan,Australia,0.024896265560165973
259,New Caledonia,Guadeloupe,0.010752688172043012
260,Ghana,Germany,0.011363636363636364
261,Yemen,Hong Kong,0.00641025641025641
262,Montenegro,Wales,0.016666666666666666
263,Venezuela,United States,0.012987012987012988
264,Namibia,Gambia,0.008333333333333333
265,Faroe Islands,Spain,0.021505376344086023
266,Niger,Guinea,0.03875968992248062
267,Kyrgyzstan,Kazakhstan,0.053763440860215055
268,Matabeleland,Székely Land,0.3333333333333333
269,China PR,Czech Republic,0.004975124378109453
270,Iceland,Portugal,0.01606425702811245
271,Australia,Argentina,0.044585987261146494
272,North Macedonia,Sweden,0.023622047244094488
273,Saudi Arabia,Argentina,0.00966183574879227
274,Lesotho,Comoros,0.014285714285714285
275,Spain,Portugal,0.05755395683453238
276,Hong Kong,Nepal,0.004901960784313725
277,Northern Ireland,Czech Republic,0.005649717514124294
278,Ivory Coast,Greece,0.006896551724137931
279,Iran,Mexico,0.02586206896551724
280,Colombia,Trinidad and Tobago,0.005050505050505051
281,Poland,Slovenia,0.007246376811594203
282,Montenegro,Russia,0.03333333333333333
283,Nicaragua,Saint Vincent and the Grenadines,0.014925373134328358
284,Lithuania,Serbia,0.044642857142857144
285,Saint Vincent and the Grenadines,Guadeloupe,0.021739130434782608
286,Panama,Uruguay,0.018433179723502304
287,Hong Kong,Macau,0.004901960784313725
288,Chagos Islands,Parishes of Jersey,0.09090909090909091
289,Kuwait,Portugal,0.004739336492890996
290,Kazakhstan,Hungary,0.007936507936507936
291,Kosovo,Northern Ireland,0.02857142857142857
292,DR Congo,Brazil,0.005988023952095809
293,Zimbabwe,Togo,0.006329113924050633
294,San Marino,Faroe Islands,0.010256410256410256
295,Burundi,Sudan,0.04395604395604396
296,Jamaica,Mexico,0.08641975308641975
297,Namibia,Algeria,0.03333333333333333
298,Sweden,Finland,0.03481012658227848
299,Saudi Arabia,Bolivia,0.00966183574879227
300,Palestine,Philippines,0.01020408163265306
301,New Zealand,Vietnam Republic,0.006211180124223602
302,Benin,Chad,0.006535947712418301
303,Grenada,Belize,0.01818181818181818
304,England,Iceland,0.00980392156862745
305,Angola,Morocco,0.040983606557377046
306,Cyprus,Lebanon,0.003816793893129771
307,Honduras,Finland,0.004878048780487805
308,Cuba,Congo,0.00625
309,Cambodia,China PR,0.03278688524590164
310,Serbia,Australia,0.010638297872340425
311,Seychelles,Namibia,0.02631578947368421
312,Morocco,Ivory Coast,0.050359712230215826
313,Taiwan,Kuwait,0.022388059701492536
314,Republic of Ireland,Nigeria,0.00975609756097561
315,Kenya,Ghana,0.0234375
316,Uzbekistan,North Korea,0.009259259259259259
317,Estonia,Wales,0.010676156583629894
318,Kazakhstan,Syria,0.023809523809523808
319,Indonesia,Taiwan,0.013605442176870748
320,Tunisia,Germany,0.005376344086021506
321,Indonesia,Bahrain,0.01020408163265306
322,Benin,Burkina Faso,0.0718954248366013
323,Liechtenstein,Slovakia,0.046875
324,China PR,Romania,0.009950248756218905
325,Qatar,Albania,0.009569377990430622
326,Kosovo,North Macedonia,0.02857142857142857
327,Czechoslovakia,Argentina,0.012345679012345678
328,Honduras,Ecuador,0.03414634146341464
329,United States,Honduras,0.015151515151515152
330,United States,Colombia,0.04924242424242424
331,Egypt,Hungary,0.0213903743315508
332,Saint Vincent and the Grenadines,Antigua and Barbuda,0.010869565217391304
333,Haiti,Ecuador,0.016853932584269662
334,Norway,Czech Republic,0.01466275659824047
335,Gabon,Morocco,0.06993006993006994
336,Cape Verde,Mauritania,0.023809523809523808
337,Cuba,Chile,0.01875
338,South Africa,Namibia,0.008620689655172414
339,Gibraltar,Kosovo,0.011111111111111112
340,Serbia,Spain,0.031914893617021274
341,North Korea,Israel,0.008771929824561403
342,Malaysia,Vietnam,0.04838709677419355
343,Lithuania,Greece,0.008928571428571428
344,Romania,Ukraine,0.008733624454148471
345,Alderney,Gibraltar,0.0078125
346,Sweden,Argentina,0.0031645569620253164
347,Cuba,Curaçao,0.03125
348,Turkey,Portugal,0.03508771929824561
349,Mali,Ethiopia,0.00546448087431694
350,Mexico,United States,0.09055118110236221
351,Malaysia,Palestine,0.012903225806451613
352,South Africa,Niger,0.008620689655172414
353,Slovenia,Greece,0.02727272727272727
354,Lebanon,Yemen,0.006896551724137931
355,Japan,United Arab Emirates,0.02074688796680498
356,Singapore,Pakistan,0.006097560975609756
357,Paraguay,Chile,0.10472972972972973
358,Tanzania,Congo,0.00398406374501992
359,Honduras,Canada,0.04390243902439024
360,Australia,New Zealand,0.08280254777070063
361,Italy,Greece,0.006060606060606061
362,Sudan,Tunisia,0.037037037037037035
363,Eswatini,Sudan,0.015503875968992248
364,Bosnia and Herzegovina,Mexico,0.02830188679245283
365,Comoros,Burkina Faso,0.04285714285714286
366,South Africa,United Arab Emirates,0.008620689655172414
367,Laos,Timor-Leste,0.007142857142857143
368,Afghanistan,China PR,0.014285714285714285
369,Moldova,Germany,0.025157232704402517
370,Luxembourg,Saudi Arabia,0.002932551319648094
371,Turks and Caicos Islands,French Guiana,0.03225806451612903
372,County of Nice,Padania,0.5
373,Hungary,Georgia,0.003278688524590164
374,Turkey,Ecuador,0.0043859649122807015
375,Panama,Belgium,0.004608294930875576
376,North Macedonia,Portugal,0.015748031496062992
377,Peru,Uruguay,0.12794612794612795
378,Indonesia,Algeria,0.003401360544217687
379,Belarus,Greece,0.007407407407407408
380,São Tomé and Príncipe,Equatorial Guinea,0.02127659574468085
381,Tamil Eelam,Barawa,0.08333333333333333
382,Maldives,Iran,0.04918032786885246
383,Armenia,Serbia,0.021739130434782608
384,Uganda,Rwanda,0.03773584905660377
385,Argentina,Sweden,0.004629629629629629
386,Sint Maarten,Haiti,0.037037037037037035
387,Poland,Scotland,0.007246376811594203
388,Dominican Republic,Guyana,0.015384615384615385
389,Ryūkyū,United Koreans in Japan,1.0
390,Saint Kitts and Nevis,Dominica,0.022988505747126436
391,Bahamas,Turks and Caicos Islands,0.02857142857142857
392,Eswatini,Cape Verde,0.023255813953488372
393,Niger,Mauritania,0.007751937984496124
394,Northern Ireland,Cyprus,0.002824858757062147
395,Kernow,Trinidad and Tobago,0.6666666666666666
396,Cuba,Mexico,0.08125
397,Bosnia and Herzegovina,Paraguay,0.009433962264150943
398,Mauritius,Uganda,0.03205128205128205
399,Estonia,Latvia,0.10320284697508897
400,Bangladesh,Turkmenistan,0.006493506493506494
401,Western Samoa,Vanuatu,0.16666666666666666
402,Jamaica,England,0.00411522633744856
403,Turkey,Wales,0.017543859649122806
404,Russia,Ukraine,0.006134969325153374
405,Hong Kong,Thailand,0.04411764705882353
406,Mauritius,Nepal,0.01282051282051282
407,Jamaica,Costa Rica,0.06172839506172839
408,Russia,Austria,0.04294478527607362
409,South Korea,Uzbekistan,0.004651162790697674
410,Cayman Islands,Canada,0.015151515151515152
411,Mexico,South Korea,0.011811023622047244
412,Vietnam Republic,Israel,0.02631578947368421
413,Saint Martin,Barbados,0.03225806451612903
414,Czechoslovakia,Peru,0.006172839506172839
415,Antigua and Barbuda,Guatemala,0.05504587155963303
416,Lithuania,France,0.017857142857142856
417,British Virgin Islands,Montserrat,0.014084507042253521
418,Greece,Iceland,0.0043859649122807015
419,Uzbekistan,Nigeria,0.018518518518518517
420,Barawa,Surrey,0.1111111111111111
421,Iceland,Bermuda,0.004016064257028112
422,Belgium,Argentina,0.014084507042253521
423,French Guiana,Bermuda,0.012195121951219513
424,San Marino,Latvia,0.020512820512820513
425,Scotland,Denmark,0.02702702702702703
426,Cambodia,North Korea,0.01092896174863388
427,India,Yugoslavia,0.004629629629629629
428,Latvia,Liechtenstein,0.004739336492890996
429,Congo,Gambia,0.005952380952380952
430,Guatemala,Cuba,0.014705882352941176
431,Northern Ireland,Azerbaijan,0.002824858757062147
432,Tanzania,Zimbabwe,0.02390438247011952
433,Chile,Andalusia,0.0030303030303030303
434,United States Virgin Islands,Sint Maarten,0.019230769230769232
435,Anguilla,Cuba,0.030303030303030304
436,South Korea,United Arab Emirates,0.013953488372093023
437,Denmark,Brazil,0.010638297872340425
438,Morocco,Germany,0.02877697841726619
439,Curaçao,Martinique,0.007352941176470588
440,Greece,Montenegro,0.0043859649122807015
441,Yemen,Pakistan,0.00641025641025641
442,Bulgaria,Tunisia,0.0036231884057971015
443,Sweden,Turkey,0.015822784810126583
444,Nepal,Thailand,0.019736842105263157
445,Macau,Guam,0.0196078431372549
446,Grenada,Panama,0.02727272727272727
447,São Tomé and Príncipe,Central African Republic,0.02127659574468085
448,Ukraine,Iceland,0.011904761904761904
449,Kenya,Angola,0.0078125
450,Egypt,Madagascar,0.0106951871657754
451,Afghanistan,Maldives,0.02857142857142857
452,Finland,Latvia,0.009478672985781991
453,Thailand,Israel,0.0031645569620253164
454,Bermuda,Denmark,0.022988505747126436
455,Czechoslovakia,Portugal,0.018518518518518517
456,Hungary,Republic of Ireland,0.009836065573770493
457,Portugal,Republic of Ireland,0.021621621621621623
458,Burkina Faso,Cape Verde,0.029239766081871343
459,Alderney,Western Isles,0.0078125
460,Tibet,Monaco,0.07142857142857142
461,Venezuela,Iceland,0.004329004329004329
462,Malawi,Madagascar,0.01282051282051282
463,Canada,Turkey,0.011299435028248588
464,Sudan,Ghana,0.047619047619047616
465,Panama,El Salvador,0.07834101382488479
466,Guinea-Bissau,Guinea,0.07142857142857142
467,Hungary,England,0.05245901639344262
468,Cambodia,Philippines,0.02185792349726776
469,Cambodia,Equatorial Guinea,0.00546448087431694
470,Grenada,Qatar,0.00909090909090909
471,Kazakhstan,Belgium,0.031746031746031744
472,Croatia,Slovakia,0.01282051282051282
473,Timor-Leste,United Arab Emirates,0.034482758620689655
474,Lithuania,Montenegro,0.013392857142857142
475,Japan,Chile,0.004149377593360996
476,South Korea,Switzerland,0.004651162790697674
477,Georgia,Slovenia,0.014925373134328358
478,Tajikistan,Belarus,0.013157894736842105
479,Denmark,Australia,0.0070921985815602835
480,Thailand,Nepal,0.0031645569620253164
481,Libya,Mauritania,0.00684931506849315
482,Vietnam,Qatar,0.028037383177570093
483,Raetia,Padania,0.06666666666666667
484,Finland,Belgium,0.009478672985781991
485,Cuba,Trinidad and Tobago,0.075
486,Romania,Italy,0.043668122270742356
487,Tanzania,Central African Republic,0.00398406374501992
488,Chameria,Abkhazia,0.5
489,Luxembourg,Hungary,0.02932551319648094
490,Malta,Kosovo,0.009771986970684038
491,Jamaica,French Guiana,0.00411522633744856
492,Azerbaijan,Austria,0.03205128205128205
493,Colombia,Poland,0.010101010101010102
494,Greece,Yugoslavia,0.06140350877192982
495,China PR,Hong Kong,0.014925373134328358
496,Martinique,El Salvador,0.010416666666666666
497,Equatorial Guinea,Kosovo,0.01282051282051282
498,Guatemala,Poland,0.004901960784313725
499,Jamaica,Cayman Islands,0.00411522633744856
500,Isle of Wight,Greenland,0.13333333333333333
501,India,Nepal,0.004629629629629629
502,Bulgaria,Nigeria,0.007246376811594203
503,Paraguay,Brazil,0.16554054054054054
504,Senegal,Benin,0.005952380952380952
505,Belarus,Albania,0.022222222222222223
506,Réunion,Seychelles,0.061224489795918366
507,Ellan Vannin,County of Nice,0.16666666666666666
508,Iraq,Trinidad and Tobago,0.0064516129032258064
509,United States,Germany,0.030303030303030304
510,Iceland,Nigeria,0.004016064257028112
511,Malta,Norway,0.03257328990228013
512,Nepal,Pakistan,0.046052631578947366
513,Northern Ireland,Poland,0.011299435028248588
514,Liberia,Burkina Faso,0.027586206896551724
515,South Africa,Cameroon,0.008620689655172414
516,Ukraine,Spain,0.05952380952380952
517,Iraq,Kuwait,0.05161290322580645
518,Austria,Netherlands,0.032679738562091505
519,Tunisia,Namibia,0.005376344086021506
520,Serbia,Italy,0.010638297872340425
521,Egypt,Brazil,0.03208556149732621
522,Zambia,Kuwait,0.008888888888888889
523,Moldova,Wales,0.018867924528301886
524,Ukraine,South Korea,0.023809523809523808
525,Tuvalu,Matabeleland,0.037037037037037035
526,American Samoa,Fiji,0.08695652173913043
527,Kazakhstan,Turkey,0.047619047619047616
528,Réunion,Kenya,0.061224489795918366
529,Liechtenstein,North Macedonia,0.052083333333333336
530,Trinidad and Tobago,Paraguay,0.00390625
531,Guam,Taiwan,0.04878048780487805
532,Sudan,Libya,0.031746031746031744
533,Saint Kitts and Nevis,Guadeloupe,0.04597701149425287
534,Guyana,Belize,0.007042253521126761
535,Germany,Yugoslavia,0.03271028037383177
536,Faroe Islands,Cyprus,0.016129032258064516
537,Turkey,Latvia,0.0043859649122807015
538,Wales,Yugoslavia,0.012422360248447204
539,Iceland,Bulgaria,0.01606425702811245
540,Estonia,Ecuador,0.0071174377224199285
541,Bahrain,Palestine,0.01904761904761905
542,Nepal,Kuwait,0.05921052631578947
543,North Korea,China PR,0.10526315789473684
544,France,Netherlands,0.04296875
545,Ivory Coast,Algeria,0.04827586206896552
546,Greece,Senegal,0.0043859649122807015
547,United States Virgin Islands,Barbados,0.07692307692307693
548,Congo,Uganda,0.023809523809523808
549,Costa Rica,Honduras,0.08071748878923767
550,Sierra Leone,DR Congo,0.023809523809523808
551,Moldova,Montenegro,0.018867924528301886
552,Yugoslavia,Denmark,0.012345679012345678
553,Niger,Lesotho,0.007751937984496124
554,Cook Islands,American Samoa,0.02702702702702703
555,Basque Country,Cameroon,0.1111111111111111
556,Iraq,Argentina,0.0064516129032258064
557,Gibraltar,Wales,0.011111111111111112
558,Vietnam,Japan,0.04672897196261682
559,Japan,Tunisia,0.004149377593360996
560,Seychelles,Algeria,0.017543859649122806
561,Chad,Tanzania,0.014705882352941176
562,Kuwait,Bulgaria,0.009478672985781991
563,Italy,Croatia,0.01818181818181818
564,Guernsey,Shetland,0.02857142857142857
565,Peru,Mexico,0.04040404040404041
566,Mali,Namibia,0.00546448087431694
567,Luhansk PR,Donetsk PR,0.3333333333333333
568,South Korea,Russia,0.009302325581395349
569,Qatar,Bulgaria,0.004784688995215311
570,Malaysia,South Korea,0.1064516129032258
571,New Caledonia,Papua New Guinea,0.043010752688172046
572,Yemen DPR,Bahrain,0.11764705882352941
573,Bermuda,Norway,0.022988505747126436
574,Gibraltar,Estonia,0.044444444444444446
575,Palestine,Kazakhstan,0.02040816326530612
576,Turks and Caicos Islands,Nicaragua,0.03225806451612903
577,Sudan,Chad,0.005291005291005291
578,Lithuania,Armenia,0.004464285714285714
579,Sudan,German DR,0.005291005291005291
580,Burkina Faso,South Korea,0.005847953216374269
581,United States,Austria,0.007575757575757576
582,Libya,Morocco,0.03424657534246575
583,Puerto Rico,Cuba,0.0449438202247191
584,South Korea,Israel,0.004651162790697674
585,Denmark,Japan,0.0035460992907801418
586,Trinidad and Tobago,Saint Lucia,0.0078125
587,Bolivia,United States,0.007042253521126761
588,Vietnam,Palestine,0.009345794392523364
589,Indonesia,Malaysia,0.08163265306122448
590,Bahrain,Malaysia,0.009523809523809525
591,Nicaragua,Puerto Rico,0.007462686567164179
592,Western Australia,Myanmar,0.1111111111111111
593,Tajikistan,Jordan,0.06578947368421052
594,Niger,Cape Verde,0.015503875968992248
595,Ghana,Iran,0.011363636363636364
596,Paraguay,Czech Republic,0.0033783783783783786
597,Djibouti,Rwanda,0.03409090909090909
598,Andorra,Albania,0.029585798816568046
599,Djibouti,Burundi,0.07954545454545454
600,Senegal,Angola,0.011904761904761904
601,Republic of Ireland,Czechoslovakia,0.03414634146341464
602,Mauritania,Ivory Coast,0.014388489208633094
603,Germany,Luxembourg,0.004672897196261682
604,Ecuador,Uganda,0.004
605,Peru,Brazil,0.12457912457912458
606,Burkina Faso,Sudan,0.005847953216374269
607,Bulgaria,Peru,0.007246376811594203
608,Croatia,Hungary,0.02564102564102564
609,Wallis Islands and Futuna,Solomon Islands,0.15789473684210525
610,Somalia,Kenya,0.07526881720430108
611,Netherlands,Republic of Ireland,0.03139013452914798
612,Iraq,Libya,0.0064516129032258064
613,Yemen,North Korea,0.02564102564102564
614,Romania,Netherlands,0.048034934497816595
615,Guinea,Morocco,0.03888888888888889
616,Burkina Faso,Mozambique,0.011695906432748537
617,Poland,Russia,0.025362318840579712
618,Venezuela,Jamaica,0.004329004329004329
619,Cayman Islands,Jamaica,0.16666666666666666
620,Estonia,Mexico,0.0035587188612099642
621,Martinique,Curaçao,0.052083333333333336
622,Romania,Ecuador,0.004366812227074236
623,Qatar,Colombia,0.004784688995215311
624,Sweden,Ivory Coast,0.006329113924050633
625,Costa Rica,Curaçao,0.017937219730941704
626,France,Greece,0.00390625
627,Rwanda,Burundi,0.02727272727272727
